Class                    Total   Correct   Top1 Acc    Top5 Acc  
00125                    65      33        50.77       81.54     
00226                    63      32        50.79       80.95     
00185                    61      31        50.82       77.05     
00464                    61      31        50.82       73.77     
00473                    61      31        50.82       85.25     
00188                    49      25        51.02       77.55     
00240                    68      35        51.47       89.71     
00265                    68      35        51.47       85.29     
00310                    64      33        51.56       67.19     
00415                    65      34        52.31       81.54     
00052                    63      33        52.38       73.02     
00176                    63      33        52.38       87.30     
00267                    63      33        52.38       88.89     
00379                    63      33        52.38       88.89     
00469                    63      33        52.38       77.78     
00302                    64      34        53.12       93.75     
00313                    64      34        53.12       79.69     
00345                    64      34        53.12       82.81     
00353                    64      34        53.12       92.19     
00035                    67      36        53.73       94.03     
00038                    65      35        53.85       75.38     
00201                    65      35        53.85       90.77     
00264                    65      35        53.85       84.62     
00435                    65      35        53.85       69.23     
00077                    63      34        53.97       74.60     
00151                    63      34        53.97       77.78     
00298                    63      34        53.97       79.37     
00395                    61      33        54.10       85.25     
00481                    59      32        54.24       76.27     
00193                    66      36        54.55       86.36     
00023                    64      35        54.69       82.81     
00279                    64      35        54.69       82.81     
00280                    64      35        54.69       73.44     
00374                    64      35        54.69       81.25     
00262                    53      29        54.72       81.13     
00428                    62      34        54.84       77.42     
00377                    60      33        55.00       81.67     
00470                    60      33        55.00       78.33     
00039                    65      36        55.38       83.08     
00061                    65      36        55.38       86.15     
00249                    65      36        55.38       73.85     
00488                    65      36        55.38       73.85     
00477                    59      33        55.93       86.44     
00233                    66      37        56.06       87.88     
00074                    64      36        56.25       87.50     
00235                    64      36        56.25       78.12     
00245                    64      36        56.25       81.25     
00272                    64      36        56.25       78.12     
00152                    39      22        56.41       84.62     
00184                    62      35        56.45       87.10     
00269                    62      35        56.45       87.10     
00200                    60      34        56.67       86.67     
00391                    65      37        56.92       78.46     
00457                    65      37        56.92       76.92     
00394                    63      36        57.14       85.71     
00434                    63      36        57.14       74.60     
00196                    68      39        57.35       88.24     
00263                    66      38        57.58       80.30     
00390                    59      34        57.63       84.75     
00236                    64      37        57.81       81.25     
00036                    65      38        58.46       89.23     
00041                    65      38        58.46       84.62     
00285                    65      38        58.46       86.15     
00304                    65      38        58.46       89.23     
00329                    65      38        58.46       84.62     
00357                    65      38        58.46       83.08     
00369                    65      38        58.46       90.77     
00487                    65      38        58.46       83.08     
00062                    53      31        58.49       81.13     
00192                    63      37        58.73       87.30     
00314                    63      37        58.73       82.54     
00385                    63      37        58.73       93.65     
00330                    68      40        58.82       83.82     
00159                    61      36        59.02       86.89     
00423                    61      36        59.02       86.89     
00032                    64      38        59.38       90.62     
00237                    64      38        59.38       93.75     
00256                    64      38        59.38       87.50     
00121                    62      37        59.68       87.10     
00273                    62      37        59.68       83.87     
00058                    60      36        60.00       83.33     
00220                    60      36        60.00       85.00     
00225                    65      39        60.00       81.54     
00277                    65      39        60.00       93.85     
00008                    63      38        60.32       95.24     
00174                    63      38        60.32       85.71     
00179                    63      38        60.32       85.71     
00480                    63      38        60.32       95.24     
00169                    66      40        60.61       83.33     
00005                    64      39        60.94       82.81     
00114                    64      39        60.94       78.12     
00222                    64      39        60.94       81.25     
00456                    64      39        60.94       76.56     
00449                    67      41        61.19       89.55     
00034                    62      38        61.29       79.03     
00199                    62      38        61.29       72.58     
00164                    52      32        61.54       80.77     
00227                    65      40        61.54       84.62     
00350                    65      40        61.54       92.31     
00446                    65      40        61.54       81.54     
